Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Cushion,1.07,J,VS1,,67.9,60,Excellent,Excellent,5.69X5.63X3.83,GIA,US$3,790
Cushion,0.57,I,VS1,,67,59,Excellent,Very Good,4.71X4.64X3.11,GIA,US$1,364
Cushion,0.57,I,VVS2,,66.6,61,Very Good,Very Good,4.67X4.66X3.10,GIA,US$1,363
Cushion,2.04,H,VVS2,,69.1,66,Excellent,Very Good,7.40X7.18X4.96,GIA,US$19,878
Cushion,2.04,I,VS2,,69.4,67,Very Good,Very Good,8.00X6.72X4.66,GIA,US$16,294
Cushion,1.51,F,VS2,,70.2,62,Very Good,Very Good,7.85X5.86X4.11,GIA,US$14,230
Cushion,1.51,K,VS1,,66.9,63,Very Good,Very Good,7.20X6.31X4.22,GIA,US$6,088
Cushion,1.51,H,VS2,,66.3,64,Very Good,Good,6.65X6.55X4.34,GIA,US$10,650
Cushion,1.51,J,VS2,,65.9,67,Excellent,Very Good,7.04X6.40X4.21,GIA,US$7,695
Cushion,1.02,G,VS2,,68.9,58,Excellent,Very Good,6.29X5.48X3.78,GIA,US$6,773
Cushion,1.02,J,VS2,,69.7,60,Excellent,Excellent,6.13X5.58X3.89,GIA,US$4,121
Cushion,2.01,E,VS1,,69.4,60,Excellent,Excellent,7.00X6.93X4.81,GIA,US$27,272
Cushion,3.01,J,VS2,,67,61,Excellent,Excellent,8.10X8.01X5.36,GIA,US$28,824
Cushion,3.01,E,VS1,,69.6,61,Excellent,Excellent,7.95X7.94X5.52,GIA,US$54,719
Cushion,1.20,J,SI1,,69.8,60,Excellent,Very Good,5.94X5.85X4.08,GIA,US$4,618
Cushion,0.90,H,VS1,,69.6,60,Excellent,Very Good,5.50X5.37X3.74,GIA,US$3,858
Cushion,1.01,G,VS1,,67.5,61,Excellent,Excellent,5.76X5.60X3.78,GIA,US$5,546
Cushion,1.01,G,VS2,,68.3,61,Excellent,Very Good,5.60X5.50X3.76,GIA,US$5,481
Cushion,0.91,H,VVS2,,67.7,60,Excellent,Very Good,5.54X5.45X3.69,GIA,US$3,914
Cushion,0.91,E,VS2,,68.5,60,Excellent,Excellent,5.36X5.36X3.67,GIA,US$4,484
Cushion,0.91,I,VS1,,67.4,61,Excellent,Excellent,5.40X5.40X3.64,GIA,US$3,180
Cushion,0.90,K,VS1,,69.1,61,Excellent,Very Good,5.34X5.33X3.69,GIA,US$2,339
Cushion,0.90,I,VVS2,,70.2,61,Very Good,Good,5.37X5.22X3.66,GIA,US$3,168
Cushion,1.02,E,VS2,,65.3,59,Excellent,Excellent,5.74X5.67X3.70,GIA,US$6,055
Cushion,1.02,F,SI1,,67.5,61,Very Good,Excellent,5.80X5.78X3.90,GIA,US$5,392
Cushion,1.55,I,VS1,,69.2,69,Excellent,Very Good,6.56X6.53X4.52,GIA,US$9,841
Cushion,1.05,E,SI2,,67.8,65,Excellent,Good,6.09X5.69X3.86,GIA,US$5,250
Cushion,3.05,H,VS2,,67.5,67,Very Good,Very Good,8.63X8.25X5.57,GIA,US$41,041
Cushion,1.00,G,SI2,,69.8,59,Very Good,Very Good,6X5.48X3.83,GIA,US$5,000
Cushion,1.00,I,VS2,,65.7,62,Excellent,Good,6.29X5.33X3.5,GIA,US$4,120
Cushion,1.71,F,SI2,,69.6,67,Very Good,Very Good,7.23X6.47X4.5,GIA,US$12,449
Cushion,0.94,H,VVS2,,70,61,Excellent,Very Good,5.49X5.40X3.78,GIA,US$4,043
