Shape Carat Cut Color Clarity Polish Symmetry "Lab Certification" Price
Round 0.18 "Very Good" G VVS1 Good Good GIA $229
Round 0.18 "Very Good" I VVS1 "Very Good" Good GIA $229
Round 0.18 Good H VVS1 "Very Good" "Very Good" GIA $229
Round 0.18 Excellent D VS2 Excellent "Very Good" GIA $229
Round 0.40 Good M SI2 Excellent Excellent GIA $229
Round 0.18 Excellent F VS1 Excellent Excellent GIA $229
Round 0.18 "Very Good" E VS2 Good Good GIA $230
Round 0.18 Excellent D VS1 Excellent "Very Good" GIA $230
Round 0.19 Good E VS2 "Very Good" Fair GIA $230
Round 0.20 "Very Good" I VS1 Excellent "Very Good" GIA $230
Round 0.30 "Very Good" M SI2 "Very Good" "Very Good" GIA $230
Round 0.18 "Very Good" E VS2 "Very Good" Excellent GIA $230
Round 0.17 "Very Good" E VS2 "Very Good" "Very Good" GIA $230
Pear 0.30 Excellent I SI2 "Very Good" "Very Good" GIA $230
Pear 0.30 Good I SI2 "Very Good" "Very Good" GIA $230
Round 0.30 "Very Good" M SI1 Excellent Excellent GIA $230
Emerald 0.33 Excellent L SI1 "Very Good" "Very Good" GIA $230
Round 0.30 "Very Good" M VS2 Excellent "Very Good" GIA $230
Round 0.30 Excellent M VS1 Excellent Excellent GIA $230
Round 0.18 Excellent F VVS2 Excellent "Very Good" GIA $230
Round 0.18 "Very Good" G VVS1 "Very Good" "Very Good" GIA $230
Round 0.18 Excellent D VS2 Excellent "Very Good" GIA $231
Round 0.30 Good M VS1 "Very Good" Good GIA $231
Round 0.30 "Very Good" M SI1 "Very Good" Good GIA $231
Round 0.18 "Very Good" G VS2 "Very Good" "Very Good" GIA $231
Round 0.18 "Very Good" D SI1 "Very Good" Excellent GIA $231
Round 0.32 Excellent M VS1 Excellent Excellent GIA $231
Round 0.30 "Very Good" M VVS2 Excellent "Very Good" GIA $231
Round 0.18 Excellent I VVS2 Excellent Excellent GIA $231
Round 0.30 Excellent L SI2 Excellent Excellent GIA $231
Round 0.18 "Very Good" F VVS2 "Very Good" "Very Good" GIA $232
Round 0.18 Excellent E VS2 "Very Good" "Very Good" GIA $232
Round 0.30 "Very Good" K I1 Excellent Good GIA $232
Round 0.30 "Very Good" M SI1 "Very Good" Good GIA $232
Round 0.32 "Very Good" L VS1 Excellent "Very Good" GIA $232
Marquise 0.30 "Very Good" K VS2 Excellent "Very Good" GIA $232
Round 0.18 "Very Good" G VVS1 "Very Good" Good GIA $232
Round 0.18 Excellent H VVS2 Excellent "Very Good" GIA $232
Round 0.31 Excellent E I1 Excellent Excellent GIA $233
Round 0.40 "Very Good" K I1 "Very Good" "Very Good" GIA $233
Round 0.20 "Very Good" F VS2 "Very Good" Good GIA $233
Round 0.18 Good F VVS1 "Very Good" "Very Good" GIA $233
Round 0.19 Excellent G SI1 Excellent Excellent GIA $233
Round 0.22 Good E SI1 Fair Good GIA $233
Round 0.20 Excellent I VVS1 "Very Good" "Very Good" GIA $233
Round 0.23 Excellent K VS2 Excellent Excellent GIA $233
Round 0.19 Excellent D SI1 Excellent Excellent GIA $233
Round 0.20 Excellent J VVS1 Excellent Excellent GIA $233
Round 0.19 Excellent E SI1 Excellent Excellent GIA $233
Marquise 0.37 Good J SI2 "Very Good" Good GIA $233
Round 0.18 "Very Good" E VS2 Good "Very Good" GIA $233
Round 0.30 Excellent L VVS1 Excellent Excellent GIA $234
Round 0.21 Excellent I VVS2 Excellent Excellent GIA $234
Round 0.33 Good J I1 Good Fair GIA $234
Round 0.30 Good G I1 "Very Good" "Very Good" GIA $234
Round 0.30 Excellent L I1 Excellent Excellent GIA $234
Round 0.30 Excellent L SI2 Excellent Excellent GIA $234
Round 0.18 "Very Good" E VVS1 "Very Good" "Very Good" GIA $234
Round 0.30 "Very Good" M SI2 Excellent "Very Good" GIA $234
Round 0.18 Excellent G VVS1 Excellent "Very Good" GIA $234
Round 0.40 Good M VS2 Excellent Good GIA $234
Round 0.40 "Very Good" M VS1 Excellent Good GIA $234
Round 0.31 "Very Good" L SI1 "Very Good" Good GIA $234
Round 0.22 Good F SI2 "Very Good" Good GIA $234
Pear 0.31 "Very Good" J SI1 Good Fair GIA $234
Round 0.18 "Very Good" F VVS2 Excellent "Very Good" GIA $234
Round 0.30 "Very Good" M SI1 Excellent Excellent GIA $235
Round 0.31 Excellent M SI1 Excellent Excellent GIA $235
Round 0.18 "Very Good" E VVS1 "Very Good" "Very Good" GIA $235
Round 0.30 Good M SI2 "Very Good" Fair GIA $235
Round 0.30 Good M SI2 Good Good GIA $235
Round 0.32 Excellent M VVS1 "Very Good" Excellent GIA $235
Pear 0.18 Excellent E VVS1 "Very Good" Good GIA $235
Round 0.31 Excellent L VVS2 Excellent Excellent GIA $235
Round 0.30 Excellent L VVS1 Excellent Excellent GIA $235
Round 0.18 "Very Good" H VS2 "Very Good" "Very Good" GIA $235
Round 0.18 "Very Good" H VVS1 Good "Very Good" GIA $235
Marquise 0.30 "Very Good" G I1 Good "Very Good" GIA $235
Pear 0.30 Excellent J SI2 "Very Good" Good GIA $235
Round 0.23 Excellent H SI1 Excellent "Very Good" GIA $235
Round 0.33 Excellent L SI2 Excellent Excellent GIA $235
Pear 0.23 "Very Good" I VS1 Good Fair GIA $235
Round 0.18 "Very Good" H VS1 "Very Good" "Very Good" GIA $235
Round 0.18 Excellent H VS1 "Very Good" "Very Good" GIA $235
Pear 0.30 Fair F I1 "Very Good" "Very Good" GIA $235
Round 0.30 "Very Good" J I1 Excellent "Very Good" GIA $235
Round 0.18 "Very Good" E SI1 Excellent "Very Good" GIA $236
Emerald 0.30 "Very Good" E I1 Excellent Good GIA $236
Round 0.41 "Very Good" M VS1 Excellent "Very Good" GIA $236
Round 0.20 Excellent I SI1 Excellent "Very Good" GIA $236
Round 0.30 Good M VS2 Excellent "Very Good" GIA $236
Round 0.18 Excellent G VVS1 "Very Good" Excellent GIA $236
Round 0.21 Excellent I VVS1 "Very Good" Excellent GIA $236
Round 0.31 Excellent J I1 Excellent Excellent GIA $236
Round 0.18 "Very Good" H VS2 "Very Good" "Very Good" GIA $236
Round 0.18 "Very Good" H VS1 Excellent Excellent GIA $236
Round 0.18 "Very Good" G VS2 "Very Good" Good GIA $236
Round 0.18 Excellent H VS1 Excellent Excellent GIA $237
Round 0.19 Excellent D VS1 "Very Good" Excellent GIA $237
Round 0.18 "Very Good" E VVS1 Excellent "Very Good" GIA $237
Pear 0.25 Good F SI2 "Very Good" "Very Good" GIA $237
Heart 0.41 Good L SI2 "Very Good" "Very Good" GIA $237
Princess 0.34 Fair M SI2 Good Fair GIA $237
Pear 0.30 Good J SI1 "Very Good" Good GIA $237
Round 0.30 "Very Good" K I1 Good "Very Good" GIA $237
Round 0.33 "Very Good" I I1 Excellent "Very Good" GIA $238
Round 0.20 "Very Good" G SI2 "Very Good" "Very Good" GIA $238
Round 0.30 Good M SI2 Excellent Good GIA $238
Round 0.25 Excellent D I1 Excellent Excellent GIA $238
Round 0.18 Excellent D SI1 Excellent Excellent GIA $238
Round 0.18 Excellent D SI1 Excellent Excellent GIA $238
Round 0.40 "Very Good" M I1 Excellent Excellent GIA $238
Round 0.18 Excellent G VS1 "Very Good" Excellent GIA $238
Round 0.30 "Very Good" M VS1 "Very Good" Good GIA $238
Round 0.23 "Very Good" I VS1 "Very Good" "Very Good" GIA $238
